1,11117
2,11210
3,11223
4,11313
5,11418
6,11425
7,11439
8,11441
9,11516
10,11528
11,11619
12,11626
13,11711
14,11724
15,11814
16,12113
17,12121
18,12132
19,12215
20,12227
21,12236
22,12243
23,12317
24,12329
25,12338
26,12412
27,12420
28,12514
29,12611
30,12624
31,99998
32,13119
33,13126
34,13135
35,13142
36,13157
37,13161
38,13174
39,13188
40,13190
41,13208
42,13212
43,13220
44,13231
45,13249
46,99999
48,13254
49,13265
50,13277
51,13283
52,13296
53,13306
54,13310
55,13323
56,13334
57,13347
58,13352
